wissen	weiß	wüsste	haben_gewusst
umbenennen	benennt um	benennte um	haben_umbenannt
herüberfahren	fährt herüber	führe herüber	sein_herübergefahren
zusammenleben	lebt zusammen	lebte zusammen	haben_zusammengelebt
beitragen	trägt bei	trüge bei	haben_beigetragen
vermögen	vermag	vermöchte	haben_vermocht
zerlassen	zerlässt	zerließe	haben_zerlassen
zugehen	geht zu	ginge zu	sein_zugegangen
herumzeigen	zeigt herum	zeigte herum	haben_herumgezeigt
erleben	erlebt	erlebte	haben_erlebt
aufkleben	klebt auf	klebte auf	haben_aufgeklebt
anfahren	fährt an	führe an	haben_angefahren
vorbeifahren	fährt vorbei	führe vorbei	sein_vorbeigefahren
absetzen	setzt ab	setzte ab	haben_abgesetzt
feststellen	stellt fest	stellte fest	haben_festgestellt
festlegen	legt fest	legte fest	haben_festgelegt
erstellen	erstellt	erstellte	haben_erstellt
abhalten	hält ab	hielte ab	haben_abgehalten
zusammenarbeiten	arbeitet zusammen	arbeitete zusammen	haben_zusammengearbeitet
gleichtun	tut gleich	täte gleich	haben_gleichgetan
überfahren	überfährt	überführe	haben_überfahren
einiggehen	geht einig	ginge einig	sein_einiggegangen
anstehen	steht an	stünde an	haben_angestanden
angehen	geht an	ginge an	sein_angegangen
ausschließen	schließt aus	schlösse aus	haben_ausgeschlossen
absagen	sagt ab	sagte ab	haben_abgesagt
gegenlesen	liest gegen	läse gegen	haben_gegengelesen
herunterfallen	fällt herunter	fiele herunter	sein_heruntergefallen
runterfallen	fällt runter	fiele runter	sein_runtergefallen
wehtun	tut weh	täte weh	haben_wehgetan
rechtschreiben	—	—	—_rechtgeschrieben
miterleben	erlebt mit	erlebte mit	haben_miterlebt
anheimstellen	stellt anheim	stellte anheim	haben_anheimgestellt
vortragen	trägt vor	trüge vor	haben_vorgetragen
abgehen	geht ab	ginge ab	sein_abgegangen
flöten gehen	geht flöten	ginge flöten	sein_flöten gegangen
abtragen	trägt ab	trüge	haben_abgetragen
hervorgehen	geht hervor	ginge hervor	sein_hervorgegangen
zurückhalten	hält zurück	hielte zurück	haben_zurückgehalten
befolgen	befolgt	befolgte	haben_befolgt
zusprechen	spricht zu	spräche zu	haben_zugesprochen
kommentieren	kommentiert	kommentierte	haben_kommentiert
verschaffen	verschafft	verschaffte	haben_verschafft
verarbeiten	verarbeitet	verarbeitete	haben_verarbeitet
einbringen	bringt ein	brächte ein	haben_eingebracht
erstehen	ersteht	erstünde	haben_erstanden
abfinden	findet ab	fände ab	haben_abgefunden
innewohnen	wohnt inne	wohnte inne	haben_innegewohnt
übergehen	geht über	ginge über	sein_übergegangen
hinterfragen	hinterfragt	hinterfragte	haben_hinterfragt
hinsetzen	setzt hin	setzte hin	haben_hingesetzt
herunternehmen	nimmt herunter	nähme herunter	haben_heruntergenommen
hinhalten	hält hin	hielte hin	haben_hingehalten
kennenlernen	lernt kennen	lernte kennen	haben_kennengelernt
umgeben	gibt um	gäbe um	haben_umgegeben
betragen	beträgt	betrüge	haben_betragen
abschreiben	schreibt ab	schriebe ab	haben_abgeschrieben
behelfen	behilft	behülfe	haben_beholfen
zurückbilden	bildet zurück	bildete zurück	haben_zurückgebildet
verspielen	verspielt	verspielte	haben_verspielt
wiederherstellen	stellt wieder her	stellte wieder her	haben_wiederhergestellt
abbehalten	behält ab	behielte ab	haben_abbehalten
beziehen	bezieht	bezöge	haben_bezogen
stattfinden	findet statt	fände statt	haben_stattgefunden
gefallen	gefällt	gefiele	haben_gefallen
aufstellen	stellt auf	stellte auf	haben_aufgestellt
zusammensetzen	setzt zusammen	setzte zusammen	haben_zusammengesetzt
zurückgehen	geht zurück	ginge zurück	sein_zurückgegangen
vorlegen	legt vor	legte vor	haben_vorgelegt
ausbleiben	bleibt aus	bliebe aus	sein_ausgeblieben
zugeben	gibt zu	gäbe zu	haben_zugegeben
versetzen	versetzt	versetzte	haben_versetzt
zugrunde legen	legt zugrunde	legte zugrunde	haben_zugrunde gelegt
vorgehen	geht vor	ginge vor	sein_vorgegangen
ersetzen	ersetzt	ersetzte	haben_ersetzt
aussetzen	setzt aus	setzte aus	haben_ausgesetzt
verhalten	verhält	verhielte	haben_verhalten
zurückbleiben	bleibt zurück	bliebe zurück	sein_zurückgeblieben
wegsehen	sieht weg	sähe weg	haben_weggesehen
ausschreiben	schreibt aus	schriebe aus	haben_ausgeschrieben
ausreden	redet aus	redete aus	haben_ausgeredet
verschreiben	verschreibt	verschriebe	haben_verschrieben
weglassen	lässt weg	ließe weg	haben_weggelassen
weglegen	legt weg	legte weg	haben_weggelegt
fortlegen	legt fort	legte fort	haben_fortgelegt
beiseitelegen	legt beiseite	legte beiseite	haben_beiseitegelegt
darlegen	legt dar	legte dar	haben_dargelegt
zusagen	sagt zu	sagte zu	haben_zugesagt
wegziehen	zieht weg	zöge weg	sein_weggezogen
erziehen	erzieht	erzöge	haben_erzogen
fortgehen	geht fort	ginge fort	sein_fortgegangen
entkommen	entkommt	entkäme	sein_entkommen
durchsetzen	setzt durch	setzte durch	haben_durchgesetzt
mitkommen	kommt mit	käme mit	sein_mitgekommen
umkommen	kommt um	käme um	sein_umgekommen
verkommen	verkommt	verkäme	sein_verkommen
nachsetzen	setzt nach	setzte nach	haben_nachgesetzt
vorwegnehmen	nimmt vorweg	nähme vorweg	haben_vorweggenommen
ausdenken	denkt aus	dächte aus	haben_ausgedacht
erdenken	erdenkt	erdächte	haben_erdacht
gedenken	gedenkt	gedächte	haben_gedacht
durchdenken	durchdenkt	durchdächte	haben_durchdacht
weiterdenken	denkt weiter	dächte weiter	haben_weitergedacht
fortdenken	denkt fort	dächte fort	haben_fortgedacht
wegdenken	denkt weg	dächte weg	haben_weggedacht
hinausführen	führt hinaus	führte hinaus	haben_hinausgeführt
wiedergeben	gibt wieder	gäbe wieder	haben_wiedergegeben
abfallen	fällt ab	fiele ab	sein_abgefallen
abhandeln	handelt ab	handelte ab	haben_abgehandelt
aushandeln	handelt aus	handelte aus	haben_ausgehandelt
verhandeln	verhandelt	verhandelte	haben_verhandelt
vorfallen	fällt vor	—	sein_vorgefallen
herabfallen	fällt herab	fiele herab	sein_herabgefallen
mitnehmen	nimmt mit	nähme mit	haben_mitgenommen
heraufkommen	kommt herauf	käme herauf	sein_heraufgekommen
herausstellen	stellt heraus	stellte heraus	haben_herausgestellt
gegenüberstehen	steht gegenüber	stünde gegenüber	haben_gegenübergestanden
überleben	überlebt	überlebte	haben_überlebt
freisetzen	setzt frei	setzte frei	haben_freigesetzt
unterstellen	unterstellt	unterstellte	haben_unterstellt
unterlassen	unterlässt	unterließe	haben_unterlassen
obliegen	obliegt	obläge	sein_oblegen
überfliegen	überfliegt	überflöge	haben_überflogen
einziehen	zieht ein	zöge ein	haben_eingezogen
beschaffen	beschafft	beschaffte	haben_beschafft
mitdenken	denkt mit	dächte mit	haben_mitgedacht
bewohnen	bewohnt	bewohnte	haben_bewohnt
hübsch machen	macht hübsch	machte hübsch	haben_hübsch gemacht
umschreiben	umschreibt	umschriebe	haben_umschrieben
innehalten	hält inne	hielte inne	haben_innegehalten
herausfinden	findet heraus	fände heraus	haben_herausgefunden
wettmachen	macht wett	machte wett	haben_wettgemacht
hochfahren	fährt hoch	führe hoch	haben_hochgefahren
umfliegen	umfliegt	umflöge	haben_umflogen
entgehen	entgeht	entginge	sein_entgangen
verunfallen	verunfallt	verunfallte	sein_verunfallt
übersehen	übersieht	übersähe	haben_übersehen
nachvollziehen	vollzieht nach	vollzöge nach	haben_nachvollzogen
fertigmachen	macht fertig	machte fertig	haben_fertiggemacht
verlesen	verliest	verläse	haben_verlesen
mitbringen	bringt mit	brächte mit	haben_mitgebracht
wegbegeben	begibt weg	begäbe weg	haben_wegbegeben
herunterkommen	kommt herunter	käme herunter	sein_heruntergekommen
bekennen	bekennt	bekennte	haben_bekannt
zusehen	sieht zu	sähe zu	haben_zugesehen
nachgeben	gibt nach	gäbe nach	haben_nachgegeben
wegmachen	macht weg	machte weg	haben_weggemacht
auffahren	fährt auf	führe auf	sein_aufgefahren
hintanstellen	stellt hintan	stellte hintan	haben_hintangestellt
hochkommen	kommt hoch	käme hoch	sein_hochgekommen
abhandenkommen	kommt abhanden	käme abhanden	sein_abhandengekommen
untersagen	untersagt	untersagte	haben_untersagt
entziehen	entzieht	entzöge	haben_entzogen
verabreden	verabredet	verabredete	haben_verabredet
anschaffen	schafft an	schaffte an	haben_angeschafft
vernehmen	vernimmt	vernähme	haben_vernommen
abfragen	fragt ab	fragte ab	haben_abgefragt
ersuchen	ersucht	ersuchte	haben_ersucht
besagen	besagt	besagte	haben_besagt
nachhelfen	hilft nach	hülfe nach	haben_nachgeholfen
abbleiben	bleibt ab	bliebe ab	sein_abgeblieben
nachlassen	lässt nach	ließe nach	haben_nachgelassen
zurückziehen	zieht zurück	zöge zurück	haben_zurückgezogen
vorbehalten	behält vor	behielte vor	haben_vorbehalten
wohlfühlen	fühlt wohl	fühlte wohl	haben_wohlgefühlt
vorüberfahren	fährt vorüber	führe vorüber	sein_vorübergefahren
infrage stellen	stellt infrage	stellte infrage	haben_infrage gestellt
erschaffen	erschafft	erschüfe	haben_erschaffen
unternehmen	unternimmt	unternähme	haben_unternommen
vertragen	verträgt	vertrüge	haben_vertragen
umbestellen	bestellt um	bestellte um	haben_umbestellt
hinlegen	legt hin	legte hin	haben_hingelegt
Rad fahren	fährt Rad	führe Rad	sein_Rad gefahren
herausgeben	gibt heraus	gäbe heraus	haben_herausgegeben
widerstehen	widersteht	widerstände	haben_widerstanden
gefangen nehmen	nimmt gefangen	nähme gefangen	haben_gefangen genommen
schwellen	schwillt	schwölle	sein_geschwollen
benennen	benennt	benennte	haben_benannt
zeihen	zeiht	ziehe	haben_geziehen
entfallen	entfällt	entfiele	sein_entfallen
hinterlegen	hinterlegt	hinterlegte	haben_hinterlegt
überfallen	überfällt	überfiele	haben_überfallen
anreden	redet an	redete an	haben_angeredet
vormachen	macht vor	machte vor	haben_vorgemacht
absprechen	spricht ab	spräche ab	haben_abgesprochen
stunden	stundet	stundete	haben_gestundet
erlesen	erliest	erläse	haben_erlesen
aufsitzen	sitzt auf	säße auf	haben_aufgesessen
herunterspielen	spielt herunter	spielte herunter	haben_heruntergespielt
feilhalten	hält feil	hielte feil	haben_feilgehalten
aufführen	führt auf	führte auf	haben_aufgeführt
verführen	verführt	verführte	haben_verführt
durchfahren	durchfährt	durchführe	haben_durchfahren
eintreffen	trifft ein	träfe ein	sein_eingetroffen
herankommen	kommt heran	käme heran	sein_herangekommen
mitgeben	gibt mit	gäbe mit	haben_mitgegeben
ersitzen	ersitzt	ersäße	haben_ersessen
fremdgehen	geht fremd	ginge fremd	sein_fremdgegangen
bescheißen	bescheißt	beschisse	haben_beschissen
weh tun	tut weh	täte weh	haben_weh getan
ranlassen	lässt ran	ließe ran	haben_rangelassen
verzeigen	verzeigt	verzeigte	haben_verzeigt
herabsetzen	setzt herab	setzte herab	haben_herabgesetzt
vertun	vertut	vertäte	haben_vertan
hersollen	soll her	sollte her	haben_hergesollt
durchsuchen	durchsucht	durchsuchte	haben_durchsucht
vorlesen	liest vor	läse vor	haben_vorgelesen
freistellen	stellt frei	stellte frei	haben_freigestellt
wegbringen	bringt weg	brächte weg	haben_weggebracht
verbrauchen	verbraucht	verbrauchte	haben_verbraucht
auflegen	legt auf	legte auf	haben_aufgelegt
